Term | TF-IDF country | TF-IDF pop | TF-IDF rap | TF-IDFrock
keep	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
us	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
apart	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Hey	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Some	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
people	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
say	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
I'm	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
those	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
guys	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
blessings	|	0.602060	|	0.000000	|	0.602060	|	0.000000	|	
life	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
overlooked	|	0.301030	|	0.000000	|	0.000000	|	0.301030	|	
Sometimes	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
feel	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
like	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
tatter	|	0.301030	|	0.000000	|	0.301030	|	0.000000	|	
torn	|	0.301030	|	0.000000	|	0.000000	|	2.107210	|	
pages	|	0.301030	|	0.000000	|	0.000000	|	1.204120	|	
some	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
old	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
paperback	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
book	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
All	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
places	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
played	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
money	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
made	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
still	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
nothing	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
show	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
that	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
have	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
left	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
whole	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
wide	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
world	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
put	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
into	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
somethin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
big	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
break	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
That'll	|	0.124939	|	0.124939	|	0.249877	|	0.000000	|	
take	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
out	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
back	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
street	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
bars	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
center	|	0.124939	|	0.000000	|	0.249877	|	0.749632	|	
stage	|	0.374816	|	0.000000	|	0.499755	|	0.374816	|	
million	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
tears	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
beers	|	1.806180	|	0.000000	|	0.000000	|	0.000000	|	
just	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
about	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
washed	|	0.874571	|	0.499755	|	0.000000	|	0.374816	|	
it	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
had	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
every	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
for	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
these	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
years	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Pourin'	|	1.806180	|	0.000000	|	0.000000	|	0.000000	|	
soul	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
till	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
spread	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
myself	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
so	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
thin	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
barely	|	0.874571	|	0.374816	|	0.124939	|	0.000000	|	
